address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,23.71,2179.6603000000005,0.59275,0.044465,1768507854468,False,False,2026-01-15 20:10:54.468000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,1906.11,175228.6923,47.65275,3.574665,1768507854525,False,False,2026-01-15 20:10:54.525000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,343.37,31566.004100000002,8.58425,0.643946,1768507855077,False,False,2026-01-15 20:10:55.077000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,24.57,2258.7201,0.61425,0.046077,1768507855197,False,False,2026-01-15 20:10:55.197000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,1.72,158.11960000000002,0.043,0.003225,1768507855197,False,False,2026-01-15 20:10:55.197000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,13.28,1220.8304,0.332,0.024904,1768507855197,False,False,2026-01-15 20:10:55.197000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,24.57,2258.7201,0.61425,0.046077,1768507855386,False,False,2026-01-15 20:10:55.386000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,20.81,1913.0633,0.52025,0.039026,1768507855733,False,False,2026-01-15 20:10:55.733000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,4.97,456.8921,0.12425,0.00932,1768507855798,False,False,2026-01-15 20:10:55.798000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,4.88,448.6184,0.122,0.009151,1768507856660,False,False,2026-01-15 20:10:56.660000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:SILVER,A,Close Long,91.93,14.65,1346.7745000000002,0.36625,0.027474,1768507856660,False,False,2026-01-15 20:10:56.660000+00:00,False,True,True,False
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:COPPER,A,Open Short,6.0201,6245.43,37598.113143,0.0,0.767001,1768508847495,False,False,2026-01-15 20:27:27.495000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:COPPER,A,Open Short,5.986,179.68,1075.56448,0.0,0.073138,1768508940999,False,True,2026-01-15 20:29:00.999000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:COPPER,A,Open Short,5.9852,3.75,22.444499999999998,0.0,0.001526,1768508940999,False,True,2026-01-15 20:29:00.999000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,xyz:COPPER,A,Open Short,5.9833,1070.57,6405.541480999999,0.0,0.435576,1768508940999,False,True,2026-01-15 20:29:00.999000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,B,Close Short,714.15,284.701,203319.21915000002,1401.867724,20.73856,1768509288331,False,False,2026-01-15 20:34:48.331000+00:00,False,True,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.3,3.3,2211.99,0.0,0.752076,1768512245860,False,True,2026-01-15 21:24:05.860000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.3,0.54,361.962,0.0,0.123067,1768512245860,False,True,2026-01-15 21:24:05.860000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.29,0.522,349.89137999999997,0.0,0.118963,1768512245860,False,True,2026-01-15 21:24:05.860000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.15,0.47,314.97049999999996,0.0,0.107089,1768512245860,False,True,2026-01-15 21:24:05.860000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.04,26.804000000000002,0.0,0.002734,1768512246063,False,False,2026-01-15 21:24:06.063000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.56,375.25600000000003,0.0,0.038276,1768512247045,False,False,2026-01-15 21:24:07.045000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.046,30.8246,0.0,0.003144,1768512247171,False,False,2026-01-15 21:24:07.171000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.263,176.2363,0.0,0.017976,1768512247171,False,False,2026-01-15 21:24:07.171000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.241,161.4941,0.0,0.016472,1768512247270,False,False,2026-01-15 21:24:07.270000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.368,246.5968,0.0,0.025152,1768512247369,False,False,2026-01-15 21:24:07.369000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.046,30.8246,0.0,0.003144,1768512247369,False,False,2026-01-15 21:24:07.369000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.046,30.8246,0.0,0.003144,1768512247369,False,False,2026-01-15 21:24:07.369000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.577,386.6477,0.0,0.039438,1768512247769,False,False,2026-01-15 21:24:07.769000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.2,134.02,0.0,0.01367,1768512247769,False,False,2026-01-15 21:24:07.769000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,5.271,3532.0971,0.0,0.360273,1768512247821,False,False,2026-01-15 21:24:07.821000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,8.19,5488.119,0.0,0.559788,1768512247821,False,False,2026-01-15 21:24:07.821000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.437,292.8337,0.0,0.029869,1768512248023,False,False,2026-01-15 21:24:08.023000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.237,158.8137,0.0,0.016198,1768512248290,False,False,2026-01-15 21:24:08.290000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.348,233.1948,0.0,0.023785,1768512248475,False,False,2026-01-15 21:24:08.475000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.053,35.5153,0.0,0.003622,1768512248576,False,False,2026-01-15 21:24:08.576000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.351,235.2051,0.0,0.02399,1768512248576,False,False,2026-01-15 21:24:08.576000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.746,499.8946,0.0,0.050989,1768512248576,False,False,2026-01-15 21:24:08.576000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.461,308.91610000000003,0.0,0.031509,1768512248576,False,False,2026-01-15 21:24:08.576000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.079,52.9379,0.0,0.005399,1768512248576,False,False,2026-01-15 21:24:08.576000+00:00,True,False,False,True
0xc794b210337339ce83f5be21f0f62802c029b332,XMR,A,Open Short,670.1,0.87,582.987,0.0,0.059464,1768512248678,False,False,2026-01-15 21:24:08.678000+00:00,True,False,False,True
