address,time_ms,coin,funding_usd,side,time
0xcb5c2f378860437fad512c3aec09efce1c470283,1774224000261,ZEC,-0.255771,funding,2026-03-23 00:00:00.261000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774227600069,ZEC,-1.629583,funding,2026-03-23 01:00:00.069000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774231200040,ZEC,-1.854091,funding,2026-03-23 02:00:00.040000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774234800111,ZEC,-1.863482,funding,2026-03-23 03:00:00.111000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774238400086,ZEC,-1.206544,funding,2026-03-23 04:00:00.086000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774242000014,ZEC,-0.97609,funding,2026-03-23 05:00:00.014000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774245600068,ZEC,-0.098271,funding,2026-03-23 06:00:00.068000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774249200043,ZEC,3.126959,funding,2026-03-23 07:00:00.043000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774252800066,ZEC,3.050965,funding,2026-03-23 08:00:00.066000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774256400071,ZEC,0.293725,funding,2026-03-23 09:00:00.071000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774260000081,ZEC,0.10906,funding,2026-03-23 10:00:00.081000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774263600004,ZEC,-1.847661,funding,2026-03-23 11:00:00.004000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774267200045,ZEC,-1.878626,funding,2026-03-23 12:00:00.045000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774270800056,ZEC,-0.282439,funding,2026-03-23 13:00:00.056000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774274400053,ZEC,-1.972282,funding,2026-03-23 14:00:00.053000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774278000071,ZEC,-1.977274,funding,2026-03-23 15:00:00.071000+00:00
0xcb5c2f378860437fad512c3aec09efce1c470283,1774281600048,ZEC,2.739618,funding,2026-03-23 16:00:00.048000+00:00
