address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005024,77500.0,389.36,0.0,0.140169,1769501209432,False,True,2026-01-27 08:06:49.432000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005024,2389011.0,12002.391264,0.0,4.32086,1769501209432,False,True,2026-01-27 08:06:49.432000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005024,306299.0,1538.846176,0.0,0.553984,1769501209432,False,True,2026-01-27 08:06:49.432000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005079,229836.0,1167.337044,0.0,0.420241,1769530698160,False,True,2026-01-27 16:18:18.160000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005079,24700.0,125.4513,0.0,0.045162,1769530698160,False,True,2026-01-27 16:18:18.160000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005098,72656.0,370.400288,0.0,0.133344,1769548002878,False,True,2026-01-27 21:06:42.878000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005098,44540.0,227.06492,0.0,0.081743,1769548002878,False,True,2026-01-27 21:06:42.878000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005104,5391.0,27.515664,0.0,0.009905,1769548009967,False,True,2026-01-27 21:06:49.967000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005106,27533.0,140.58349800000002,0.0,0.05061,1769548014349,False,True,2026-01-27 21:06:54.349000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005113,33092.0,169.199396,0.0,0.060911,1769553755323,False,True,2026-01-27 22:42:35.323000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,B,Open Long,0.005109,5277.0,26.960193,0.0,0.009705,1769553760956,False,True,2026-01-27 22:42:40.956000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004839,5143.0,24.886977,-0.992599,0.008959,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004839,5143.0,24.886977,-0.992599,0.008959,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004839,109307.0,528.9365730000001,-21.096251,0.190417,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004838,117047.0,566.2733860000001,-22.707118,0.203858,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004838,518686.0,2509.402868,-100.625084,0.903385,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004838,19261.0,93.184718,-3.736634,0.033546,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004837,495593.0,2397.183341,-96.640635,0.862986,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004837,81225.0,392.885325,-15.838875,0.141438,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004836,1668114.0,8066.999304,-326.950344,2.904119,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,kPEPE,A,Close Long,0.004836,196316.0,949.384176,-38.477936,0.341778,1769653913409,True,True,2026-01-29 02:31:53.409000+00:00,False,True,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,BTC,B,Open Long,63807.0,0.25,15951.75,0.0,5.74263,1771902488446,False,True,2026-02-24 03:08:08.446000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,BTC,B,Open Long,63807.0,0.21869,13953.95283,0.0,5.023423,1771902488446,False,True,2026-02-24 03:08:08.446000+00:00,True,False,True,False
0xd2055c67884ef085760f31c06300880e7f745acf,BTC,A,Close Long,62969.0,0.46869,29512.94061,-392.76222,10.624658,1771906473192,True,True,2026-02-24 04:14:33.192000+00:00,False,True,True,False
