metric,top_tier_mean,top_tier_median,bottom_tier_mean,bottom_tier_median,difference,pct_difference,p_value,significant
asset_hhi,0.5805,0.519,0.3678,0.3343,0.2127,57.8,0.0012,True
long_pct,0.4238,0.4815,0.6418,0.6965,-0.218,-34.0,0.0054,True
avg_trade_value,6024.3178,4176.7781,3302.7875,1859.3429,2721.5303,82.4,0.0283,True
trades_per_day,272.0483,24.2857,66.3409,21.7261,205.7075,310.1,0.0301,True
n_assets_traded,7.7949,5.0,14.5,9.0,-6.7051,-46.2,0.0409,True
total_fees_paid,2082.0524,766.3817,1118.2833,376.9086,963.769,86.2,0.0474,True
sharpe,-0.3713,0.0,1.201,0.5141,-1.5722,-130.9,0.1677,False
win_rate,0.3973,0.343,0.499,0.5077,-0.1018,-20.4,0.1738,False
profit_factor,1.1742,0.2263,11.1697,1.2264,-9.9956,-89.5,0.1845,False
n_liquidations,25.9744,0.0,16.4474,3.5,9.527,57.9,0.4464,False
max_drawdown,-12.489,0.0,-27.6598,-0.4703,15.1708,54.8,0.4774,False
liquidation_rate,0.077,0.0,0.0663,0.0094,0.0107,16.2,0.8023,False
avg_hold_hours,45.5356,3.7296,43.046,24.9639,2.4896,5.8,0.8954,False
