address,n_scored_trades,smart_money_score,grade,ic_1h,ic_4h,ic_8h,ic_24h,ic_recent_8h,icir_8h,ic_trend,ic_trend_direction,rolling_ic_values,display_name,pnl_alltime,pnl_month,rank,smart_money_rank
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,83,1.5,TIER_1,82.4975,70.3566,85.8355,-89.3646,85.8355,12.5559,-0.017552,DETERIORATING,"[87.39051112950364, 87.11346431262106, 86.8678745893321, 86.65104429825082, 86.46056985605613, 86.29430253251108, 86.15031538580993, 86.02687525125984, 85.92241889911205, 85.83553265074549]",,4461051.528846,673304.664653,200,1
0x6dbde1a1e0f199b0252e593a422b9340af03075a,38,1.5,TIER_1,0.0174,1.1548,4.3861,6.516,4.4066,231.1536,-0.011888,DETERIORATING,"[4.433827057441289, 4.4165464879473, 4.40317095560574, 4.393163605302015, 4.386079020576189]",,15595401.794761,3523112.693627,78,2
0x4000e1793bef8327e069c2ebc093b32ce06b6633,65,1.3881,TIER_1,7.4958,3.3342,3.5568,21.7233,3.5568,1.3218,-0.618522,DETERIORATING,"[4.844285269290889, 4.696719641508383, 4.556702675786682, 4.423604117511591, 4.255946394915932, 4.1014818294037045, 3.9584338053588835, 3.81705587989285, 3.6781853972427068, 3.5568333411204636]",,4516738.987517,571913.351781,129,3
0xc171aca4843aa4765e88ebf2b35d0808a623815d,273,1.0739,TIER_1,0.3627,1.0257,1.13,0.2183,1.5344,1.7961,0.000145,IMPROVING,"[1.1634804849796936, 1.1628630577021757, 1.1622628486993907, 1.1053384302619158, 1.1057574204768765, 1.1061836021885403, 1.1066168379700962, 1.1070569934806918, 1.107288901939869, 1.1075290656161445]",SamuraiTakedown,2072515.846809,47411.222316,174,4
0x36076e4bfad9624d7feba562326fdfa2063ede23,85,0.9341,TIER_1,0.6233,0.2976,0.9316,0.1878,1.0057,4.5474,0.005233,IMPROVING,"[1.084559701087673, 1.097448604716967, 1.1102413897532137, 1.1229360261809214, 1.1355312418826704, 1.0331588315796247, 1.0134368006195427, 0.9664421398569799, 0.9614015800010253, 0.9324761670810509]",,305349.734757,40636.582539,32,5
0x8a3cf3c4b300be69429cce5beb2ef14d7200b6b7,893,0.9166,TIER_1,0.1161,-0.1738,0.2591,-0.5137,2.7594,-0.0963,0.004527,IMPROVING,"[1.216336496878775, 1.220397527462032, 1.2244466825199785, 1.2284840387102662, 1.2325096727388134, 1.2365387845120068, 1.2405596932868885, 1.2445723425167885, 1.2485766803294094, 1.2525726592390072]",,1675720.195601,467621.526652,64,6
0xcb6eeb25417d2cd5dfeb52b54f72c49f7490bea9,64,0.7686,TIER_1,-0.0784,0.189,0.1969,0.5279,23.2234,0.1433,-1.630461,DETERIORATING,"[0.322838058401784, 0.31601619632864975, 0.3094327788448373, 0.3029572721042735, 0.29665261760138817, 0.2905220518005112, 0.28458264151513235, 0.27880990731847893, 0.2521696532022773, 0.22716565075861841]",vphill,502466.415885,1317.923142,112,7
0x547c8d938b98cd17ab7c653a0d98cca80eabb876,1168,0.5675,TIER_1,1.422,1.0653,0.7736,0.5055,0.7736,0.3307,0.000387,IMPROVING,"[0.7927383941044088, 0.7932701280247578, 0.7938015418139459, 0.7908140931502001, 0.7879934956536149, 0.7853056848372055, 0.7827185916786459, 0.7801452405913033, 0.7776696672147179, 0.773771963124856]",,2982180.71667,917308.269246,101,8
0x7a2dec2cf9247964f22afae48fc7d6ad5b71e137,64,0.5583,TIER_1,0.9921,0.9371,0.8215,0.7075,0.8215,1.2486,-0.568686,DETERIORATING,"[3.3081627124890307, 2.863124410061726, 2.0773068351827493, 1.681926924415671, 1.4323575266887312, 1.252056579678757, 1.1137915637606086, 1.002961243968525, 0.9046425757743037, 0.8214605663265849]",,547782.865868,315.880516,12,9
0xfc84a4bba95d3a13f91a9c0d735c0af04a18f4d0,108,0.5455,TIER_1,-0.4709,-0.7717,0.6494,1.219,0.6494,-0.0332,0.009315,IMPROVING,"[0.6728969341441773, 0.6802986388562989, 0.687636151635006, 0.6949109669676377, 0.7021245251392403, 0.7036219718892898, 0.7004537694547577, 0.6973526039168576, 0.6666666935981196, 0.6494371376865874]",,10208218.746717,2708684.138526,104,10
0x99967871e6c4f9a5185abc57edede9e9540191f6,87,0.5445,TIER_1,0.733,-1.4972,0.8412,5.4466,0.8412,0.8351,-0.196307,DETERIORATING,"[0.871434229057802, 0.8693426349523702, 0.8673365860012578, 0.8653704874074067, 0.8627672601494354, 0.8594858897511363, 0.8562666788865096, 0.8519831631516575, 0.846585209151137, 0.8412059419441571]",,26403010.499627,1431159.507774,56,11
0x30031f21e4927c7b7c8d9bdb803bc14e57388028,223,0.5327,TIER_1,0.4372,0.5461,0.5823,0.5659,0.5823,1.7523,0.000831,IMPROVING,"[0.6099063143854158, 0.6071335263165767, 0.5911677123899474, 0.5809182077735235, 0.5826380671885559, 0.5838032709130658, 0.5876370591211469, 0.5913823944552461, 0.5868104040691853, 0.5822920209938778]",,3462466.139733,608051.634979,170,12
0x6559e0678d8b33de20dacafc36182fb643a9d297,781,0.5268,TIER_1,0.2666,0.4023,0.4479,0.3763,0.8021,0.945,0.000862,IMPROVING,"[0.3572171554984878, 0.35805980646663266, 0.35929160831696555, 0.36052104362151227, 0.3617013018098039, 0.36287938895777533, 0.36405531513146666, 0.36522909032556716, 0.36640072446408883, 0.3675702274010288]",,169827.570936,163553.142873,153,13
0xa10ec245b3483f83e350a9165a52ae23dbab01bc,707,0.4964,TIER_1,-0.1222,-0.0111,0.4684,-0.2397,0.4684,2.737,-0.001395,DETERIORATING,"[0.47483606361525355, 0.47391150502448, 0.4731881794653321, 0.47246041662328514, 0.47173460746709417, 0.47101074240084995, 0.4702888118954828, 0.4695751458377626, 0.4689386986488364, 0.46838102372306784]",,3543843.612069,1185.394789,164,14
0xc6758a779bccee1ef0190dbe8292fdf44076795d,320,0.4954,TIER_1,0.1284,0.2502,0.777,0.2942,0.777,0.4824,-0.008061,DETERIORATING,"[0.9036613769450367, 0.8873861395399232, 0.8716257081971188, 0.8563510493011498, 0.8415354013223175, 0.8271540501938196, 0.8129090428209668, 0.8014053110384676, 0.7891717357952305, 0.776992370675384]",,1992955.781605,585725.782893,102,15
0xb4a9964201c213af0c9c7f62af561813c9a2f1f7,583,0.483,TIER_1,0.351,0.3691,0.6652,0.0619,0.6652,0.2142,0.00031,IMPROVING,"[0.5013839429151894, 0.5053556033542703, 0.5093027080948858, 0.5129655139627656, 0.5166250327973653, 0.5202211971276343, 0.5238322402692377, 0.5274415344698314, 0.531044325459803, 0.534633572445266]",,4919198.169324,179585.520426,50,16
0x613ead0ea5af374af0ccfc117ef116a8e8d133fe,91,0.4774,TIER_1,1.0473,0.7077,0.7764,0.5657,0.7764,0.5085,-0.043775,DETERIORATING,"[1.2325428321268754, 1.1884754991997608, 1.1477863680188916, 1.1100680701606727, 1.0749575344847273, 1.0420612897843633, 1.0112021126387705, 0.9821846036504019, 0.9547826736499248, 0.9286385120279409]",Sticky,2079033.354056,202967.101991,34,17
0x612ca98c658c7a2de1f239a1d2a9e18c356e724a,526,0.356,TIER_2,0.3577,0.3352,0.451,0.386,0.451,0.6257,-0.000138,DETERIORATING,"[0.4523927506712965, 0.45228608922833463, 0.45217838773902186, 0.4520713939422388, 0.4519633596625991, 0.45185602909664824, 0.45174765764528974, 0.45163998598460103, 0.4515330101538982, 0.45098659721769896]",,1940127.44163,37823.495404,41,18
0x97f20f91c18093c7f738a00ffabc03eea04ec668,586,0.3278,TIER_2,0.0232,0.2382,0.3069,0.7627,0.3069,1.607,0.000583,IMPROVING,"[0.3208853121930242, 0.32145394515325526, 0.3227849312321843, 0.3227667083158251, 0.3227390646037462, 0.322711723227884, 0.32262616843140357, 0.3225410238767766, 0.3228332765607243, 0.319914942867927]",,3490367.221919,11446.74419,163,19
0x523852be2db1a76a0e088ecbff32e849544054e5,966,0.3267,TIER_2,-2.3907,-0.4986,0.4005,0.2626,0.4005,0.7273,-0.000217,DETERIORATING,"[0.4002890032975293, 0.400315573701709, 0.40034223071875824, 0.4003689740475812, 0.4003958033883204, 0.40042271844235033, 0.40044971891227166, 0.40047680450190437, 0.40050397491628215, 0.40053122986164635]",perpfumbler,6241016.57386,1037565.0099,148,20
0x97be9c7904f9c772a3efbf9e10286b91ba8a773e,608,0.3213,TIER_2,0.1252,0.3126,0.449,0.1125,0.3532,0.4359,0.001625,IMPROVING,"[0.4288009455925114, 0.4310888131005981, 0.4333649890631005, 0.43562964140557736, 0.43788272883579893, 0.44012442432314475, 0.44235499668298967, 0.444574507638516, 0.44678321447794417, 0.448981175163203]",,60109.237552,57364.537552,31,21
0x6f31fef250a34a025f7784a2e3a02b4921b30394,522,0.3018,TIER_2,0.3696,0.2659,0.2866,0.5242,0.3001,1.6147,-0.001182,DETERIORATING,"[0.4708242420632591, 0.4700684053632215, 0.46928085279488996, 0.4684930340591801, 0.4677101396959667, 0.46693212088259745, 0.4632437944196956, 0.46600830849977554, 0.46141784521502144, 0.45934222956010046]",ibench240,234227.080546,18959.025673,19,22
0xe2597d4cbf8c4686312fd9c7a04fc233cead57c4,1443,0.2454,TIER_3,-0.111,0.7279,0.3321,-0.1616,0.3321,0.1504,0.00029,IMPROVING,"[0.33074364222061514, 0.33107718410596243, 0.3314125985971518, 0.33175092548963364, 0.33209111379950973, 0.3324341998265644, 0.3327791360469227, 0.3331269552502525, 0.33347661338605905, 0.3338291397192294]",,1295941.889913,54912.228093,173,23
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,74,0.2194,TIER_3,-0.0272,0.1865,0.1412,0.0522,0.2543,1.8521,-0.004817,DETERIORATING,"[0.13873826001215317, 0.1386193227401259, 0.13850103019902016, 0.13839198967577615, 0.13829181989632772, 0.13820015956174492, 0.1381080461098061, 0.13887844611191938, 0.13964482983682489, 0.14124727920636732]",shibal,1970577.964349,1329.857512,168,24
0x807a2e2e469df84b299da5f90f15dda4380daca1,311,0.2191,TIER_3,-1.2876,-0.077,0.3301,1.2267,0.3301,-0.9359,0.005046,IMPROVING,"[0.2918439711671939, 0.29620924888428124, 0.3005362867290566, 0.30482592912429357, 0.30912756715152234, 0.3133922044920574, 0.3176206487621005, 0.32181368072007877, 0.3259720554461406, 0.33009650345782354]",,24006804.898357,3541926.144672,71,25
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,928,0.2094,TIER_3,-0.2074,0.1404,0.2928,0.7728,0.1822,0.5383,0.001277,IMPROVING,"[0.1149735846956243, 0.11697096557551331, 0.11896077705739412, 0.1209430860333817, 0.12291795851413594, 0.12488545964411044, 0.12464041485942529, 0.12439595136687921, 0.12415206651341244, 0.12390875766328908]",,18864715.406269003,3440635.158282,109,26
0x52081a6912cfa64968999fbeb31387446a49b207,283,0.2058,TIER_3,0.1504,0.4109,0.2195,0.6538,0.2195,2.149,-0.009115,DETERIORATING,"[0.37455203759447664, 0.35401792122814624, 0.3345197093266045, 0.31590227103093615, 0.2981277145174965, 0.28113452094866764, 0.2648201961922715, 0.2491422831487295, 0.23405139845571848, 0.21951385915442748]",,953236.824503,79942.579234,132,27
0x0cc705942b1565e2f76201d934b32472e75b3a76,929,0.1993,TIER_3,0.2787,0.3089,0.1681,0.2425,0.2349,0.4476,0.002506,IMPROVING,"[0.33589823973947164, 0.3381631459575836, 0.34041871868157325, 0.3426635659229417, 0.3448992909541148, 0.34712598839989744, 0.3493437513810215, 0.3515526715458937, 0.35375283910151284, 0.3559443428435825]",,151935.116784,107296.825125,48,28
